gene_name,Ref,Site,cFC,mcDiff,t,P.Value,adjusted.P.Value
AAGAB,AAGAB_01,AAGAB_03,-0.0766422390022019,-0.0262085348961135,-0.373928709145743,0.721314829064507,1
AAGAB,AAGAB_02,AAGAB_03,-0.0785490171885878,-0.0275639419453897,-0.241502710769916,0.81720729352376,1
AASDHPPT,AASDHPPT_01,AASDHPPT_08,-0.135291484304381,-0.0456751251927903,-2.71011085673124,0.0351009026251259,0.17550451312563
AASDHPPT,AASDHPPT_04,AASDHPPT_10,-0.354675437242705,-0.111859478968618,-1.86703125929151,0.111135252227366,0.444541008909462
AASDHPPT,AASDHPPT_05,AASDHPPT_06,0.161775928053445,0.0308909312613574,1.04250689473379,0.337348952193769,0.890213976082495
AASDHPPT,AASDHPPT_06,AASDHPPT_08,-0.140997820194365,-0.0488602618937479,-1.14260598064058,0.296737992027498,0.890213976082495
AASDHPPT,AASDHPPT_08,AASDHPPT_10,-0.117428975683438,-0.0387542764896475,-0.33662131300386,0.747864086388072,0.890213976082495
ABCE1,ABCE1_05,ABCE1_08,0.0045311369290556,0.00137524299644531,0.061032340904332,0.953315655327219,0.953315655327219
ABHD2,ABHD2_09,ABHD2_11,0.165101423709265,0.0569436546085738,0.638043156283186,0.547009302157816,1
ABHD2,ABHD2_11,ABHD2_12,-0.00964215490346171,-0.00334117423585745,-0.0665962260095254,0.949066801012928,1
ABI2,ABI2_01,ABI2_14,-0.422663314542071,-0.144607011182181,-1.77211659132929,0.126752171833979,0.722315268162741
ABI2,ABI2_04,ABI2_14,-0.324136159400841,-0.108554933176799,-1.97092489883826,0.0962267737374757,0.722315268162741
ABI2,ABI2_06,ABI2_14,-0.358097717040244,-0.125124854804704,-2.57530357471586,0.0420340565185967,0.462374621704563
ABI2,ABI2_07,ABI2_14,-0.362366342508875,-0.127202270977018,-1.31989868455652,0.23498950243476,0.722315268162741
ABI2,ABI2_09,ABI2_14,-0.400763012160138,-0.133701679105803,-1.94900723735955,0.0991953987045098,0.722315268162741
ABI2,ABI2_10,ABI2_14,-0.256284195129145,-0.0642095852178938,-1.30067913517903,0.241087155522116,0.722315268162741
ABI2,ABI2_11,ABI2_14,-0.399043351593061,-0.140116894324557,-2.23088316022562,0.0671842399921316,0.671842399921316
ABI2,ABI2_12,ABI2_14,-0.398050798893174,-0.139095640362564,-2.06931320017382,0.083967205363732,0.722315268162741
ABI2,ABI2_13,ABI2_14,-0.27471384311888,-0.0967353398578546,-1.86419065419982,0.111573738602916,0.722315268162741
ABI2,ABI2_14,ABI2_15,0.252168704458976,0.0871726169561767,2.10198386651093,0.0802572520180824,0.722315268162741
ABI2,ABI2_15,ABI2_17,0.134976109184379,0.0419666015948228,0.666204112809506,0.530047289077478,0.722315268162741
ABLIM1,ABLIM1_01,ABLIM1_06,-0.401248977062433,-0.110794681226343,-1.90693845109723,0.105153340339233,0.736073382374631
ABLIM1,ABLIM1_02,ABLIM1_06,-0.214975569913381,-0.0607280872697523,-2.17535822972977,0.0725240254434548,0.652716228991093
ABLIM1,ABLIM1_03,ABLIM1_05,0.231882576668706,0.0817879717985277,1.12567927776401,0.303303373009258,1
ABLIM1,ABLIM1_04,ABLIM1_06,-0.29281944246051,-0.10297194635978,-1.77767155518966,0.125781389266979,0.754688335601872
ABLIM1,ABLIM1_05,ABLIM1_10,-0.367686885871246,-0.128659623440802,-4.16837162980154,0.00588920692115878,0.0647812761327466
ABLIM1,ABLIM1_06,ABLIM1_09,0.226257846227636,0.0783665492561669,2.5816102737989,0.0416791375356713,0.416791375356713
ABLIM1,ABLIM1_07,ABLIM1_11,-0.124391616300285,-0.0418338638787613,-1.04555602479049,0.33604767789941,1
ABLIM1,ABLIM1_08,ABLIM1_11,-0.226535227282865,-0.0783279225298853,-2.16728037094622,0.0733365449436864,0.652716228991093
ABLIM1,ABLIM1_09,ABLIM1_12,0.111767492785635,0.0386067468865389,1.07905152840166,0.322020873472528,1
ABLIM1,ABLIM1_10,ABLIM1_12,0.22353937916144,0.0689754039905283,0.74112051167258,0.486602510958588,1
ABLIM1,ABLIM1_11,ABLIM1_12,0.273988577359325,0.0965599023226025,0.917291585186997,0.394365980331002,1
ABLIM2,ABLIM2_01,ABLIM2_02,0.228078614958688,0.078843313976126,0.565804738127089,0.592041186963203,0.592041186963203
ABLIM3,ABLIM3_01,ABLIM3_03,0.29744646982924,0.104686263490001,2.28333964526984,0.0625126099560223,0.125025219912045
ABLIM3,ABLIM3_02,ABLIM3_03,0.0729392227061875,0.0244991693388198,0.468042551032924,0.656272530585281,0.656272530585281
ACADSB,ACADSB_01,ACADSB_12,-0.484217353210187,-0.160050622925416,-3.13128981009304,0.0202913023665691,0.0608739070997073
ACADSB,ACADSB_07,ACADSB_08,0.543954318085454,0.189899256249372,1.94299167869553,0.100026151797682,0.100026151797682
ACADSB,ACADSB_08,ACADSB_12,-0.511775055841253,-0.17139621587737,-2.58849088304495,0.0412955466692356,0.0825910933384712
ACBD3,ACBD3_01,ACBD3_05,-0.18229616648793,-0.0634871152239063,-0.546481118781446,0.604446462057718,0.604446462057718
ACBD3,ACBD3_04,ACBD3_05,-0.229198937722502,-0.0800543340183272,-1.74931024729173,0.13081531489236,0.26163062978472
ACLY,ACLY_01,ACLY_02,-0.0307193080327958,-0.0107365818607822,-0.220416845680657,0.832855138550296,0.832855138550296
ACP1,ACP1_01,ACP1_03,-0.462523474239135,-0.155152765368321,-1.83088067617321,0.116845458150658,0.584227290753291
ACP1,ACP1_02,ACP1_03,-0.295656528103953,-0.103668401209099,-1.67273675764045,0.145407622552559,0.584227290753291
ACP1,ACP1_03,ACP1_04,0.256588326176166,0.0664218483469964,1.81097709897375,0.120112317355687,0.584227290753291
ACP1,ACP1_04,ACP1_07,-0.0961930065487892,-0.0309041389165039,-1.06610040332456,0.327386291811057,0.654772583622114
ACP1,ACP1_06,ACP1_07,-0.0547354633118515,-0.0167689335478399,-0.215052003314476,0.836850158137518,0.836850158137518
ACSL3,ACSL3_01,ACSL3_16,-0.190786584368778,-0.066921992528577,-3.24951434816388,0.0174769834245061,0.0873849171225305
ACSL3,ACSL3_04,ACSL3_10,-0.246041528461724,-0.0820581636973546,-1.39251409770542,0.213181854270054,0.672923560727481
ACSL3,ACSL3_09,ACSL3_10,-0.15862470650812,-0.0509817121478179,-1.56668408559517,0.16823089018187,0.672923560727481
ACSL3,ACSL3_10,ACSL3_17,0.082784773211159,0.0292039765988413,1.26257434451121,0.253593191488546,0.672923560727481
ACSL3,ACSL3_16,ACSL3_17,0.0072821229871558,0.00249178925399479,0.0521985923791329,0.960064931950549,0.960064931950549
ACSL4,ACSL4_01,ACSL4_07,-0.244547702700418,-0.0779435227784819,-1.16927750523974,0.286637061719883,0.546494323181402
ACSL4,ACSL4_03,ACSL4_07,-0.326934471055935,-0.111462319527096,-1.49931831105598,0.184451990191982,0.546494323181402
ACSL4,ACSL4_05,ACSL4_07,-0.3650398800755,-0.127694903401831,-2.12269241410574,0.0779927542144285,0.311971016857714
ACSL4,ACSL4_06,ACSL4_07,-0.356495915890242,-0.123106466625467,-1.50847194017662,0.182164774393801,0.546494323181402
ACTB,ACTB_01,ACTB_03,0.132799627561356,0.0268715877268848,2.92329767260415,0.0265172543517729,0.0265172543517729
ACTB,ACTB_02,ACTB_03,0.236114202204693,0.0584285567488949,9.82568283568353,6.4023550962567e-05,0.000192070652887701
ACTB,ACTB_03,ACTB_04,-0.189138605354587,-0.0580664720783405,-4.35168832297713,0.0048137380796035,0.00962747615920699
ACTG1,ACTG1_01,ACTG1_03,-0.138448849405965,-0.0461467943953001,-4.47722788477028,0.00420482617424257,0.0126144785227277
ACTG1,ACTG1_02,ACTG1_04,0.145058074917844,0.0510038689070026,2.34853936815225,0.0571724764502572,0.0571724764502572
ACTG1,ACTG1_03,ACTG1_04,0.134863870181561,0.0460714440186687,3.05104696942461,0.0224816962401588,0.0449633924803175
ACTR1A,ACTR1A_01,ACTR1A_02,-0.325229827299156,-0.103272257547235,-0.859086614046764,0.423281070624655,0.423281070624655
ACTR2,ACTR2_01,ACTR2_09,-0.334660196488026,-0.091845748154458,-3.08501128113931,0.0215246458575266,0.0645739375725798
ACTR2,ACTR2_04,ACTR2_16,-0.30568984997816,-0.0950597480801679,-4.17760379562658,0.00582900534484675,0.023316021379387
ACTR2,ACTR2_09,ACTR2_16,0.290317800308492,0.0830232678788452,1.77000935790317,0.127122350170368,0.254244700340736
ACTR2,ACTR2_15,ACTR2_16,0.062812134989473,0.0194489863077826,0.841097731766377,0.432529452089676,0.432529452089676
ACTR3,ACTR3_01,ACTR3_08,0.23269801948142,0.0554781650884904,2.7409791849585,0.0336919486630494,0.0673838973260988
ACTR3,ACTR3_02,ACTR3_08,0.0951111388719043,0.0333959996704343,0.824796847563222,0.441037129524842,0.441037129524842
ACVR1B,ACVR1B_05,ACVR1B_06,-0.0670928301084899,-0.0235208341696306,-0.908141562694694,0.398809487621,0.398809487621
ACVR2A,ACVR2A_08,ACVR2A_10,-0.289555432754884,-0.0967429541081884,-1.56146673840554,0.169437500173252,0.169437500173252
ACVR2B,ACVR2B_05,ACVR2B_13,-0.223254000237449,-0.0779884117657627,-1.98852739802541,0.0939074921125029,0.400810983455688
ACVR2B,ACVR2B_06,ACVR2B_13,-0.421280777331661,-0.147553045472296,-1.69599714373186,0.140815602526944,0.400810983455688
ACVR2B,ACVR2B_07,ACVR2B_13,-0.334538765454549,-0.116876939298067,-1.99760941893371,0.0927329914893719,0.400810983455688
ACVR2B,ACVR2B_08,ACVR2B_13,-0.236165410749197,-0.0652077291447939,-2.10284105944554,0.0801621966911375,0.400810983455688
ACVR2B,ACVR2B_09,ACVR2B_13,-0.230053345922172,-0.0668935673252367,-4.14897806029524,0.0060179525607985,0.036107715364791
ACVR2B,ACVR2B_11,ACVR2B_13,-0.166086367478609,-0.057814019223028,-1.14055278030961,0.297527923630624,0.400810983455688
ADAM22,ADAM22_08,ADAM22_09,-0.000655748463629757,-0.000208272301907231,-0.00675148005986744,0.99483202044407,0.99483202044407
ADAR,ADAR_01,ADAR_02,0.18295021868746,0.0644624920573556,1.02314116708577,0.345709360365947,0.691418720731893
ADAR,ADAR_02,ADAR_03,-0.17566017614511,-0.0592104857457921,-0.637932840891754,0.547076413016212,0.691418720731893
ADCY1,ADCY1_07,ADCY1_10,-0.0765362479092175,-0.0270410028210722,-0.86464241851296,0.420454507799491,0.840909015598982
ADCY1,ADCY1_10,ADCY1_14,0.0798474644074581,0.0280311029083351,0.686886036452496,0.517807687800093,0.840909015598982
ADCYAP1R1,ADCYAP1R1_01,ADCYAP1R1_05,0.212306680304205,0.0560208968812087,1.21624452123838,0.269563940147744,1
ADCYAP1R1,ADCYAP1R1_04,ADCYAP1R1_05,0.221442564651736,0.0543556186849851,0.811020164189843,0.448321511168017,1
ADCYAP1R1,ADCYAP1R1_05,ADCYAP1R1_08,-0.29646700233563,-0.0639069419490158,-2.1898172377144,0.0710927051258417,0.355463525629209
