Long Name	Short Name	RIN	BA Conc (ng/µL)	NanoDrop (ng/µL)	Qubit (ng/µL)	Conc to use	Dilution 10x	Volume RNA	Volume H2O	UMI ID	Sample ID
sg100 Neurite 1	1N1	6.1	11.605	9.02	13.1	11.605	N/A	0.86	7.14	U25	25
sg100 Neurite 2	1N2	6.1	9.956	7.209	10.3	9.956	N/A	1.00	7.00	U26	26
sg100 Neurite 3	1N3	6.2	8.959	6.438	9.08	8.959	N/A	1.12	6.88	U27	27
sg100 Neurite 4	1N4	6.6	14.863	11.221	16.8	14.863	N/A	0.67	7.33	U28	28
sg100 Neurite 5	1N5	6.1	10.087	7.536	12.7	10.087	N/A	0.99	7.01	U29	29
sg100 Neurite 6	1N6	6.3	9.672	8.174	11.3	9.672	N/A	1.03	6.97	U30	30
sg100 Soma 1	1S1	9.2	727	490.489	204	727	72.7	0.14	7.86	U31	31
sg100 Soma 2	1S2	9.3	745	583.416	222	745	74.5	0.13	7.87	U32	32
sg100 Soma 3	1S3	9.2	547	255.271	226	547	54.7	0.18	7.82	U33	33
sg100 Soma 4	1S4	9.2	651	281	240	651	65.1	0.15	7.85	U34	34
sg100 Soma 5	1S5	9.5	457	219.483	199	457	45.7	0.22	7.78	U35	35
sg100 Soma 6	1S6	9.2	618	313.585	195	618	61.8	0.16	7.84	U36	36
sg1152 Neurite 1	52N1	6.2	9.803	6.968	10.7	9.803	N/A	1.02	6.98	U37	37
sg1152 Neurite 2	52N2	6.6	12.982	11.484	16.4	12.982	N/A	0.77	7.23	U38	38
sg1152 Neurite 3	52N3	6.3	7.755	8.167	10.9	7.755	N/A	1.29	6.71	U39	39
sg1152 Neurite 4	52N4	6.5	8.17	8.145	9.9	8.17	N/A	1.22	6.78	U40	40
sg1152 Neurite 5	52N5	6.3	7.466	6.599	8.66	7.466	N/A	1.34	6.66	U41	41
sg1152 Neurite 6	52N6	6.4	10.218	7.531	10.7	10.218	N/A	0.98	7.02	U42	42
sg1152 Soma 1	52S1	9.2	680	484.936	193	680	68	0.15	7.85	U43	43
sg1152 Soma 2	52S2	9.3	629	347.006	161	629	62.9	0.16	7.84	U44	44
sg1152 Soma 3	52S3	9.5	274	164.969	134	274	27.4	0.36	7.64	U45	45
sg1152 Soma 4	52S4	9.4	775	381.73	191	775	77.5	0.13	7.87	U46	46
sg1152 Soma 5	52S5	9.6	489	287.806	164	489	48.9	0.20	7.80	U47	47
sg1152 Soma 6	52S6	9.4	826	353.056	202	826	82.6	0.12	7.88	U48	48
