Long Name	Short Name	Sample ID	RIN	BA Conc (ng/µL)	NanoDrop (ng/µL)	Qubit (ng/µL)	Conc to use	Dilution 10x	Volume RNA	Volume H2O	UMI ID	Sample ID
sg1126 Neurite 1	6N1	1	6.1	7.233	8.352	12.4	7.233	N/A	1.38	6.62	U25	1
sg1126 Neurite 2	6N2	2	6.1	13.408	11.838	20.4	13.408	N/A	0.75	7.25	U26	2
sg1126 Neurite 3	6N3	3	6.2	16.02	11.814	25.8	16.02	N/A	0.62	7.38	U27	3
sg1126 Neurite 4	6N4	4	6.1	18.452	16.226	25	18.452	N/A	0.54	7.46	U28	4
sg1126 Neurite 5	6N5	5	6.2	18.52	15.3	26.4	18.52	N/A	0.54	7.46	U29	5
sg1126 Neurite 6	6N6	6	6.5	11.508	10.8	16.7	11.508	N/A	0.87	7.13	U30	6
sg1126 Soma 1	6S1	7	8.9	435	310.699	218	435	43.5	0.23	7.77	U31	7
sg1126 Soma 2	6S2	8	8.1	871	650.219	280	871	87.1	0.11	7.89	U32	8
sg1126 Soma 3	6S3	9	8.2	768	529.631	236	768	76.8	0.13	7.87	U33	9
sg1126 Soma 4	6S4	10	8.1	585	271.507	230	585	58.5	0.17	7.83	U34	10
sg1126 Soma 5	6S5	11	8.6	706	457.777	216	706	70.6	0.14	7.86	U35	11
sg1126 Soma 6	6S6	12	9.4	853	597.413	208	853	85.3	0.12	7.88	U36	12
sg1128 Neurite 1	8N1	13	5.6	13.269	12.065	19.1	13.269	 	0.75	7.25	U37	13
sg1128 Neurite 2	8N2	14	5.5	21.623	17.712	26.2	21.623	 	0.46	7.54	U38	14
sg1128 Neurite 3	8N3	15	5.6	12.558	12.762	19.3	12.558	 	0.80	7.20	U39	15
sg1128 Neurite 4	8N4	16	6.1	21.381	17.636	30.6	21.381	 	0.47	7.53	U40	16
sg1128 Neurite 5	8N5	17	5.5	13.038	14.665	24.4	13.038	 	0.77	7.23	U41	17
sg1128 Neurite 6	8N6	18	5.9	15.541	10.97	19.2	15.541	 	0.64	7.36	U42	18
sg1128 Soma 1	8S1	19	8.3	384	251.158	186	384	38.4	0.26	7.74	U43	19
sg1128 Soma 2	8S2	20	8.4	251	135.639	147	251	25.1	0.40	7.60	U44	20
sg1128 Soma 3	8S3	21	7.8	442	201.438	173	442	44.2	0.23	7.77	U45	21
sg1128 Soma 4	8S4	22	8.6	519	278.05	206	519	51.9	0.19	7.81	U46	22
sg1128 Soma 5	8S5	23	8.8	471	257.109	187	471	47.1	0.21	7.79	U47	23
sg1128 Soma 6	8S6	24	8.5	407	184.887	167	407	40.7	0.25	7.75	U48	24
