Sample_ID,Experiment,Long_Name,Short_Name,sgRNA,Fraction,Replicate,guide_effect,filestem
4,WT,WT Neurite 4,NA,NA,Neurite,4,NA,neurite-4
5,WT,WT Neurite 5,NA,NA,Neurite,5,NA,neurite-5
6,WT,WT Neurite 6,NA,NA,Neurite,6,NA,neurite-6
7,WT,WT Neurite 7,NA,NA,Neurite,7,NA,neurite-7
4,WT,WT Soma 4,NA,NA,Soma,4,NA,soma-4
5,WT,WT Soma 5,NA,NA,Soma,5,NA,soma-5
6,WT,WT Soma 6,NA,NA,Soma,6,NA,soma-6
7,WT,WT Soma 7,NA,NA,Soma,7,NA,soma-7
1,hnRNPA1,sg1126 Neurite 1,6N1,sg1126,Neurite,1,nt_control,VR-8147-1
2,hnRNPA1,sg1126 Neurite 2,6N2,sg1126,Neurite,2,nt_control,VR-8147-2
3,hnRNPA1,sg1126 Neurite 3,6N3,sg1126,Neurite,3,nt_control,VR-8147-3
4,hnRNPA1,sg1126 Neurite 4,6N4,sg1126,Neurite,4,nt_control,VR-8147-4
5,hnRNPA1,sg1126 Neurite 5,6N5,sg1126,Neurite,5,nt_control,VR-8147-5
6,hnRNPA1,sg1126 Neurite 6,6N6,sg1126,Neurite,6,nt_control,VR-8147-6
7,hnRNPA1,sg1126 Soma 1,6S1,sg1126,Soma,1,nt_control,VR-8147-7
8,hnRNPA1,sg1126 Soma 2,6S2,sg1126,Soma,2,nt_control,VR-8147-8
9,hnRNPA1,sg1126 Soma 3,6S3,sg1126,Soma,3,nt_control,VR-8147-9
10,hnRNPA1,sg1126 Soma 4,6S4,sg1126,Soma,4,nt_control,VR-8147-10
11,hnRNPA1,sg1126 Soma 5,6S5,sg1126,Soma,5,nt_control,VR-8147-11
12,hnRNPA1,sg1126 Soma 6,6S6,sg1126,Soma,6,nt_control,VR-8147-12
13,hnRNPA1,sg1128 Neurite 1,8N1,sg1128,Neurite,1,hnRNPA1_knockdown,VR-8147-13
14,hnRNPA1,sg1128 Neurite 2,8N2,sg1128,Neurite,2,hnRNPA1_knockdown,VR-8147-14
15,hnRNPA1,sg1128 Neurite 3,8N3,sg1128,Neurite,3,hnRNPA1_knockdown,VR-8147-15
16,hnRNPA1,sg1128 Neurite 4,8N4,sg1128,Neurite,4,hnRNPA1_knockdown,VR-8147-16
17,hnRNPA1,sg1128 Neurite 5,8N5,sg1128,Neurite,5,hnRNPA1_knockdown,VR-8147-17
18,hnRNPA1,sg1128 Neurite 6,8N6,sg1128,Neurite,6,hnRNPA1_knockdown,VR-8147-18
19,hnRNPA1,sg1128 Soma 1,8S1,sg1128,Soma,1,hnRNPA1_knockdown,VR-8147-19
20,hnRNPA1,sg1128 Soma 2,8S2,sg1128,Soma,2,hnRNPA1_knockdown,VR-8147-20
21,hnRNPA1,sg1128 Soma 3,8S3,sg1128,Soma,3,hnRNPA1_knockdown,VR-8147-21
22,hnRNPA1,sg1128 Soma 4,8S4,sg1128,Soma,4,hnRNPA1_knockdown,VR-8147-22
23,hnRNPA1,sg1128 Soma 5,8S5,sg1128,Soma,5,hnRNPA1_knockdown,VR-8147-23
24,hnRNPA1,sg1128 Soma 6,8S6,sg1128,Soma,6,hnRNPA1_knockdown,VR-8147-24
1,TDP-43,sg100 Neurite 1,1N1,sg100,Neurite,1,nt_control,JR-7961-1
2,TDP-43,sg100 Neurite 2,1N2,sg100,Neurite,2,nt_control,JR-7961-2
3,TDP-43,sg100 Neurite 4,1N4,sg100,Neurite,4,nt_control,JR-7961-3
4,TDP-43,sg100 Neurite 5,1N5,sg100,Neurite,5,nt_control,JR-7961-4
5,TDP-43,sg100 Neurite 6,1N6,sg100,Neurite,6,nt_control,JR-7961-5
6,TDP-43,sg100 Soma 1,1S1,sg100,Soma,1,nt_control,JR-7961-6
7,TDP-43,sg100 Soma 2,1S2,sg100,Soma,2,nt_control,JR-7961-7
8,TDP-43,sg100 Soma 4,1S4,sg100,Soma,4,nt_control,JR-7961-8
9,TDP-43,sg100 Soma 5,1S5,sg100,Soma,5,nt_control,JR-7961-9
10,TDP-43,sg100 Soma 6,1S6,sg100,Soma,6,nt_control,JR-7961-10
11,TDP-43,sg200 Neurite 1,2N1,sg200,Neurite,1,TDP43_knockdown,JR-7961-11
12,TDP-43,sg200 Neurite 2,2N2,sg200,Neurite,2,TDP43_knockdown,JR-7961-12
13,TDP-43,sg200 Neurite 3,2N3,sg200,Neurite,3,TDP43_knockdown,JR-7961-13
14,TDP-43,sg200 Neurite 4,2N4,sg200,Neurite,4,TDP43_knockdown,JR-7961-14
15,TDP-43,sg200 Neurite 5,2N5,sg200,Neurite,5,TDP43_knockdown,JR-7961-15
16,TDP-43,sg200 Soma 1,2S1,sg200,Soma,1,TDP43_knockdown,JR-7961-16
17,TDP-43,sg200 Soma 2,2S2,sg200,Soma,2,TDP43_knockdown,JR-7961-17
18,TDP-43,sg200 Soma 3,2S3,sg200,Soma,3,TDP43_knockdown,JR-7961-18
19,TDP-43,sg200 Soma 4,2S4,sg200,Soma,4,TDP43_knockdown,JR-7961-19
20,TDP-43,sg200 Soma 5,2S5,sg200,Soma,5,TDP43_knockdown,JR-7961-20
1,FUS,sg100 Neurite 1,1N1,sg100,Neurite,1,nt_control,VR-8153-1
2,FUS,sg100 Neurite 2,1N2,sg100,Neurite,2,nt_control,VR-8153-2
3,FUS,sg100 Neurite 3,1N3,sg100,Neurite,3,nt_control,VR-8153-3
4,FUS,sg100 Neurite 4,1N4,sg100,Neurite,4,nt_control,VR-8153-4
5,FUS,sg100 Neurite 5,1N5,sg100,Neurite,5,nt_control,VR-8153-5
6,FUS,sg100 Neurite 6,1N6,sg100,Neurite,6,nt_control,VR-8153-6
7,FUS,sg100 Soma 1,1S1,sg100,Soma,1,nt_control,VR-8153-7
8,FUS,sg100 Soma 2,1S2,sg100,Soma,2,nt_control,VR-8153-8
9,FUS,sg100 Soma 3,1S3,sg100,Soma,3,nt_control,VR-8153-9
10,FUS,sg100 Soma 4,1S4,sg100,Soma,4,nt_control,VR-8153-10
11,FUS,sg100 Soma 5,1S5,sg100,Soma,5,nt_control,VR-8153-11
12,FUS,sg100 Soma 6,1S6,sg100,Soma,6,nt_control,VR-8153-12
13,FUS,sg1152 Neurite 1,52N1,sg1152,Neurite,1,FUS_knockdown,VR-8153-13
14,FUS,sg1152 Neurite 2,52N2,sg1152,Neurite,2,FUS_knockdown,VR-8153-14
