Long name	Short name	Sample ID	RIN (nano)	BA Conc (ng/uL)	Nanodrop (ng/uL)	Concentration to use	Dilution (10x)	Volume RNA	Volume H2O	UMI ID	Sample ID
sg100 Neurite 1	1N1	1	N/A	1	67.308	5	N/A	2	6	U25	1
sg100 Neurite 2	1N2	2	4.6	12	25.539	12	N/A	0.83333333	7.16666667	U26	2
sg100 Neurite 4	1N4	3	N/A	3	25.901	5	N/A	2	6	U27	3
sg100 Neurite 5	1N5	4	N/A	8	30.693	8	N/A	1.25	6.75	U28	4
sg100 Neurite 6	1N6	5	1	10	27.595	10	N/A	1	7	U29	5
sg100 Soma 1	1S1	6	9.3	239	233.32	230	23	0.43478261	7.56521739	U30	6
sg100 Soma 2	1S2	7	9.6	119	144.749	120	12	0.83333333	7.16666667	U31	7
sg100 Soma 4	1S4	8	9.1	598	257.14	300	30	0.33333333	7.66666667	U32	8
sg100 Soma 5	1S5	9	9.8	188	146.436	150	15	0.66666667	7.33333333	U33	9
sg100 Soma 6	1S6	10	9.5	273	247.525	250	25	0.4	7.6	U34	10
sg200 Neurite 1	2N1	11	5.2	15	22.716	15	N/A	0.44021835	7.55978165	U35	11
sg200 Neurite 2	2N2	12	1	13	22.046	13	N/A	0.45359702	7.54640298	U36	12
sg200 Neurite 3	2N3	13	N/A	1	29.8	5	N/A	0.33557047	7.66442953	U37	13
sg200 Neurite 4	2N4	14	6.1	13	25.647	13	N/A	0.38990915	7.61009085	U38	14
sg200 Neurite 5	2N5	15	N/A	3	20.719	5	N/A	0.48264878	7.51735122	U39	15
sg200 Soma 1	2S1	16	8.7	342	274.538	300	30	0.33333333	7.66666667	U40	16
sg200 Soma 2	2S2	17	9.2	343	371.479	350	35	0.28571429	7.71428571	U41	17
sg200 Soma 3	2S3	18	9	489	432.719	450	45	0.22222222	7.77777778	U42	18
sg200 Soma 4	2S4	19	9.3	310	320.1	310	31	0.32258065	7.67741935	U43	19
sg200 Soma 5	2S5	20	9.3	664	343.965	350	35	0.28571429	7.71428571	U44	20
